,,,,,,
,GUI Review Checklist,,,,,
,,,,,,
Mã dự án:,,Tổng số OK:,,,,
Phiên bản:,,Tổng số NG:,,,,
Chức năng review:,,Tổng số NA:,,,,
Họ tên SV review:,,,,,,
Mã SV review:,,,,,,
Ngày review:,,,,,,
Kích thước sản phẩm:,,,,,,
Số giờ công:,,,,,,
,,,,,,
Khía cạnh ,Mô tả,Kết quả mong đợi ,OK,NG,N/A,Note
Chính tả,Kiểm tra tất cả chính tả với tập mẫu tự. Sử dụng từ điển của Merriam-Webter là tập mẫu tự cho tiếng Anh-Mỹ và từ điển Oxford là tập mẫu tự cho tiếng Anh-Anh,Tất cả các từ đúng chính tả,,,,
Chính tả,So sánh từ được viết hoa với hướng dẫn viết hoa. Kiểm tra tính nhất quán trong việc viết hoa giữa các từ,"Quy định viết hoa tuân theo 1 tập hướng dẫn, tuân theo hướng dẫn này hoặc hướng dẫn từ một nguồn khác",,,,
Định vị nhãn,Kiểm tra các nhãn có ở gần các điều khiển(controls) mà nó hiện  giải thích(explanation) không,"Tất cả các nhãn gần với điều khiển, với 1 khoảng trống ở giữa kí tự cuối cùng và cạnh của điều khiển",,,,
,Kiểm tra các nhãn được đặt ở bên trái hay bên trên các điều khiển,1.     Tất cả các nhãn được đặt ở bên trái hoặc bên trên điều khiển,,,,
,,"2.     Nếu nhãn ở phía trên điều khiển, nó sẽ được căn chỉnh về góc trái dưới hoặc ở trung tâm",,,,
,,3.     Nếu nhãn được căn chỉnh ở bên phải hoặc dưới điều khiển thì phải có lý do hợp lệ,,,,
Màu font chữ,"Để có thể đọc được, ta kiểm tra độ tương phản của màu font chữ cần tương thích với nền. Kiểm tra tất cả các màn hình để đảm bảo tất cả các kí tự rõ ràng để đọc",Tất cả kí tự trên tất cả các màn hình đều dễ đọc,,,,
,Font chữ màu đỏ phải được dùng cho thông báo lỗi và những cảnh báo(warning),"1.      Font chữ đỏ không dùng cho tiêu đề , header hoặc văn bản thông thường",,,,
,,2.      Thông báo lỗi và cảnh báo được dùng với font chữ đỏ,,,,
,"Font chữ màu xanh(blue) thường sẽ gây khó đọc, nên tránh màu font này","Nếu xuất hiện chỗ có font chữ màu xanh, thì nó phải rõ ràng và dễ đọc",,,,
,Font màu tối thì dễ đọc hơn. Font màu sáng trên nền font màu tối sẽ gây khó đọc,Màu font chữ nên tối hơn màu nền,,,,
Kiểu chữ,Kiểu chữ được chọn cần phù hợp với màn hình hiển thị và đồng nhất qua các ứng dụng khác nhau,"Tất cả kí tự trên cùng một màn hình có cùng font. Nếu không thì cần có lí do hợp lệ, và vẫn cần phải tương thích với màn hình và mục đích sử dụng",,,,
Kích cỡ chữ,"Kích cỡ chữ cần tương thích với văn bản thường, tiêu đề, header, cảnh báo, etc.. ",1.      Tất cả tiêu đề có cùng kích cỡ,,,,
,,2.      Tất cả các header có cùng kích cỡ,,,,
,,3.      Tất cả văn bản thường có cùng kích cỡ,,,,
,,4.      Tất cả các cảnh báo có cùng kích cỡ,,,,
,,"5.      Kích cỡ của tiêu đề, header văn bản thường, cảnh báo có thể khác nhau để phân biệt với nhau cho rõ ràng",,,,
Tông màu ,"Tông màu nên tương thích xuyên xuốt các ứng dụng trên tất cả các màn hình. Nghĩa là các nền(background), mục menu, font chữ, hình ảnh, và thông báo có sự tương thích về màu sắc",Tất cả các màn hình sử dụng tông màu tương thích,,,,
,"Tông màu nên có sự khác nhau giữa các lớp thông tin khác nhau trên màn hình. Menu nên có màu khác so với văn bản thường, tiêu đề, header nên có màu khác với văn bản thường, etc. Điều này giúp người dùng phân biệt được các mức thông tin",Tông màu khác nhau cho các lớp thông tin khác nhau trên một màn hình,,,,
,"Những thông tin như yêu cầu đặc biệt, giảm giá hay thông báo cảnh báo(VD: hết hạn thẻ thành viên) nên có tông màu thu hút sự chú ý người dùng","Tất cả thông tin đặc biệt trên màn hình có tông màu khác với phần còn lại, và có khả năng thu hút sự chú ý ngay lập tức",,,,
,"Các màu khác nhau sẽ bao hàm các ý nghĩa khác nhau cho người dùng. Việc bao hàm này có thể khác nhau giữa các quốc gia, nhưng có 1 số màu phổ biến như sau:","Tông màu sẽ tương thích với hàm ý ngầm của nó. Chú ý tránh sử dụng sai màu, đặc biệt với các thông tin đặc biệt",,,,
,"1.      Đỏ: nguy hiểm, dừng lại, nóng, mất tiền/tài chính",,,,,
,"2.      Xanh lá cây: okay, đi",,,,,
,"3.      Vàng: cảnh báo, gần với kí hiệu dừng lại hoặc nguy hiểm",,,,,
,4.      Xanh dương: mát lạnh,,,,,
,5.      Đen: lợi nhuận về mặt tài chính,,,,,
,"6.      Xám: nặng, mờ",,,,,
,7.      Cam: năng lượng,,,,,
,"8.      Trắng: nguyên chất, tinh khiết",,,,,
Giao diện đồ họa,Đồ họa nên chỉ ra được mục đích rõ ràng. Kiểm tra xem đồ họa có truyền tải được ý nghĩa mà nó mang hay không,Giao diện đồ họa khớp với mục đích mà nó được gán,,,,
,Giao diện đồ họa trên website không nên gây phản cảm giữa các nền văn hóa. Ví dụ như hiển thị ngón tay giữa hay ngón trỏ sẽ gây phản cảm ở nhiều nơi. Đảm bảo rằng giao diện đồ họa không xúc phạm tôn giáo hoặc tín ngưỡng ở bất kì đâu,Chỉ sử dụng đồ họa tiêu chuẩn hoặc trung lập tôn giáo,,,,
Biểu tượng,Các biểu tượng nên phản ánh đúng chức năng của nó. Bên cạnh đó mọi biểu tượng nên có công cụ gợi ý(tool tip),Tất cả biểu tượng phản ánh đúng chức năng và hiển thị phần gợi ý giải thích chức năng,,,,
,Mỗi biểu tượng nên có phím tắt để chức năng của nó có thể được sử dụng thông qua bàn phím,Mỗi biểu tượng có thể click(clickable icon) có thể được truy cập bằng phím tắt thông qua bàn phím,,,,
Đa nhiệm,Nếu ứng dụng cho phép thực thi đa nhiệm thì bắt đầu cho chạy hai hoặc nhiều yêu cầu,Không fail,,,,
,Nếu ứng dụng không cho phép thực thi đa nhiệm thì cho chạy yêu cầu thứ hai ,"Yêu cầu thứ hai này không được phép chạy. Có thông báo một yêu cầu khác đang chạy sẽ được hiển thị, và yêu cầu đó vẫn đang tiếp tục chạy",,,,
Thay đổi kích cỡ cửa sổ,"Nếu ứng dụng cho phép thay đổi kích cỡ cửa sổ, ta thay đổi, thu nhỏ, phóng to cửa sổ","Cửa sổ được thay đổi, thu nhỏ, phóng to",,,,
Kích hoạt và vô hiệu hóa,"Các nút có thể được kích hoạt hoặc vô hiệu hóa, phụ thuộc vào ứng dụng. Nút “Xóa” thông thường nên để vô hiệu hóa khi không có gì được chọn để xóa hoặc ở trong những trường hợp tương tự",Các nút có thể được kích hoạt hoặc vô hiệu hóa khi cần thiết,,,,
,Các mục menu có thể được kích hoạt hoặc vô hiệu hóa dựa vào cài đặt bảo mật của ứng dụng. Chạy ứng dụng dưới nhiều quyền bảo mật(security authorization),Những mục menu không tương thích với quyền bảo mật sẽ bị vô hiệu hóa và ngược lại,,,,
Hộp thoại phương thức(modal dialog),"Khi một hộp thoại phương thức được hiển thị, cửa số chính bị vô hiệu hóa. Hiển thị một hộp thoại phương thức xem xem có vô hiệu hóa được cửa số chính không",Cửa số chính không thể truy cập được,,,,
Hộp thoại không chế độ(modeless dialog),"Hộp thoại này nên được gắn với cửa số chính. Hiển thị một hộp thoại không chế độ và thử phóng to, thu nhỏ cửa số chính ",Hộp thoại không chế độ cũng phóng to và thu nhỏ theo cửa sổ chính,,,,
Tiêu điểm con trỏ ,"Khi màn hình vừa được tải lại, con trỏ nên được đặt ở một trường mặc định, thi thoảng sẽ không có trường mặc định",Có một trường mặc định cho mọi màn hình và con trỏ sẽ được đặt ở đó mỗi khi màn hình tải lại,,,,
,"Khi con trỏ được chuyển đến một vùng điều khiển có chứa dữ liệu, tất cả dữ liệu phải được chọn. Điều này sẽ ngăn việc bổ sung thêm dữ liệu vào trường điều khiển đã sẵn có. Nhập dữ liệu vào trường điều khiển vào chuyển tiêu điểm con trỏ sang đó",Tất cả dữ liệu được chọn,,,,
Thông báo,"Sau khi một thông báo lỗi được hiển thị và được đóng, con trỏ nên được chuyển tới trường lỗi. Thi thoảng con trỏ không được trỏ tới trường nào hết",Con trỏ trỏ tới trường lỗi,,,,
,"Sau khi một thông báo lỗi được hiển thị và được đóng, con trỏ nên trỏ trở lại trường mà trước đó vừa trỏ. Thi thoảng tiêu điểm trỏ không được đặt",Con trỏ được đặt trỏ lại trường mà trước đó đã trỏ,,,,
