Function Name,Đăng Ký ,,,,,
Test Result,Chrome,Firefox,,,,
Total,0,0,,,,
Passed,0,0,,,,
Failed,0,0,,,,
Not Run,0,0,,,,
NA,0,0,,,,
,,,,,,
ID, Summary,Steps,Expected Output,Test Results,,Notes
,,,,Chrome,Firefox,
"I. Check UI/UX của màn hình ""Đăng Ký""",,,,,,
Dk_001,"Check Giao diện mặc định của màn hình ""Đăng Ký""","1. Di chuyển đến màn hình ""Đăng Ký""

2. Check giao diện mặc định của màn hình ""Đăng Ký""","2. UI mặc định của màn hình ""Đăng Ký"" được hiển thị đúng như ảnh dưới đây:
",,,
DK_002,"Check bố cục,căn chỉnh các field, font,size,color … 
( icon,logo,place holder… nếu  có )","1. Check bố cục,căn chỉnh các field, font,size,color .. của from ""Đăng Ký""","1. 
-  Căn chỉnh các field hợp lý, thẳng hàng 
- Bố cục ,font,size,color hiển thị giống như trong ảnh đính kèm ở trên",,,
DK_003,"Check xử lý của hệ thống khi nhấm ""Tab'""từ bàn phím","1. Focus chuột vào text box đầu tiên của form ""Đăng Ký ""
2. Nhấn phím ""tab"" từ bán phím","2. Con trỏ chuột sẽ dịch chuyển qua các textbox từ trái sang phải, từ trên xuống dưới",,,
DK_004,"Check xử lý của hệ thống khi nhấm ""Shift+ Tab' từ bàn phím","1. Focus chuột vào text box cuối cùng của form ""Đăng Ký ""
2. Nhấn phím ""shift+tab"" từ bán phím","2. Con trỏ chuột sẽ dịch chuyển qua các textbox từ phải sang trái, từ dưới lên trên",,,
"II. Check validation của các field trên màn hình  ""Đăng Ký""",,,,,,
1. Họ tên,,,,,,
DK_005,"Để trống field ""Họ tên""","1. Để trống field ""Họ tên""

2. Nhập giá trị hợp lệ vào tất cả các trường còn lại.

3. Nhấn  button  [Đăng Ký]","

3. Hiển thị error message dưới field ""Họ tên "" với nội dung :
 ""Đây là trường bắt buộc phải nhập "".
- Highlight và focus vào field bị lỗi",,,
