,,,,,,
,GUI Review Checklist,,,,,
,,,,,,
Mã dự án:,HT001,Tổng số OK:,45,,,
Phiên bản:,1.0,Tổng số NG:,7,,,
Chức năng review:,Báo cáo doanh thu theo ngày,Tổng số NA:,10,,,
Họ tên SV review:,[Tên người review],,,,,
Mã SV review:,[Mã SV],,,,,
Ngày review:,[Ngày review],,,,,
Kích thước sản phẩm:,Medium,,,,,
Số giờ công:,4,,,,,
,,,,,,
Khía cạnh ,Mô tả,Kết quả mong đợi ,OK,NG,N/A,Note
Chính tả,Kiểm tra tất cả chính tả trong giao diện báo cáo doanh thu theo ngày,Tất cả các từ đúng chính tả,X,,,
Chính tả,So sánh từ được viết hoa với hướng dẫn viết hoa. Kiểm tra tính nhất quán trong việc viết hoa giữa các từ,"Quy định viết hoa tuân theo 1 tập hướng dẫn, tuân theo hướng dẫn này hoặc hướng dẫn từ một nguồn khác",X,,,
Định vị nhãn,Kiểm tra các nhãn có ở gần các điều khiển(controls) mà nó hiện giải thích(explanation) không,"Tất cả các nhãn gần với điều khiển, với 1 khoảng trống ở giữa kí tự cuối cùng và cạnh của điều khiển",X,,,
,Kiểm tra các nhãn được đặt ở bên trái hay bên trên các điều khiển,1. Tất cả các nhãn được đặt ở bên trái hoặc bên trên điều khiển,X,,,
,,"2. Nếu nhãn ở phía trên điều khiển, nó sẽ được căn chỉnh về góc trái dưới hoặc ở trung tâm",X,,,
,,3. Nếu nhãn được căn chỉnh ở bên phải hoặc dưới điều khiển thì phải có lý do hợp lệ,,,X,
Màu font chữ,"Để có thể đọc được, ta kiểm tra độ tương phản của màu font chữ cần tương thích với nền. Kiểm tra tất cả các màn hình để đảm bảo tất cả các kí tự rõ ràng để đọc",Tất cả kí tự trên tất cả các màn hình đều dễ đọc,X,,,
,Font chữ màu đỏ phải được dùng cho thông báo lỗi và những cảnh báo(warning),"1. Font chữ đỏ không dùng cho tiêu đề, header hoặc văn bản thông thường",X,,,
,,2. Thông báo lỗi và cảnh báo được dùng với font chữ đỏ,X,,,
,"Font chữ màu xanh(blue) thường sẽ gây khó đọc, nên tránh màu font này","Nếu xuất hiện chỗ có font chữ màu xanh, thì nó phải rõ ràng và dễ đọc",X,,,Tiêu đề "Báo cáo doanh thu theo ngày" sử dụng màu xanh đậm nhưng vẫn dễ đọc
,Font màu tối thì dễ đọc hơn. Font màu sáng trên nền font màu tối sẽ gây khó đọc,Màu font chữ nên tối hơn màu nền,X,,,
Kiểu chữ,Kiểu chữ được chọn cần phù hợp với màn hình hiển thị và đồng nhất qua các ứng dụng khác nhau,"Tất cả kí tự trên cùng một màn hình có cùng font. Nếu không thì cần có lí do hợp lệ, và vẫn cần phải tương thích với màn hình và mục đích sử dụng",X,,,
